"","page","sales"
"244","A",17.94
"245","A",12.22
"246","A",18.7
"247","A",23.65
"248","A",14.77
"249","A",23.88
"250","A",26.56
"251","A",23.32
"252","A",11.5
"253","A",26.39
"254","A",22.83
"255","A",22.48
"256","A",16.1
"257","A",22.21
"258","A",23.7
"259","A",20.75
"260","A",17.23
"261","A",15.11
"262","A",10.06
"263","A",22.5
"264","A",19.54
"265","A",21.48
"266","A",21.58
"267","A",16.69
"268","A",18.23
"269","A",19.29
"270","A",26.86
"271","A",16.02
"272","A",20.62
"273","A",20.83
"274","A",18.55
"275","A",16.19
"276","A",18.82
"277","A",26.07
"278","A",15.87
"279","A",24.59
"280","A",22.64
"281","A",18.7
"282","A",11.69
"283","A",8.69
"284","A",20.3
"285","A",9.76
"286","A",16.33
"287","A",21.52
"288","A",15.15
"289","A",38.13
"290","A",19.63
"291","A",11.95
"292","A",15.69
"293","A",17.96
"294","A",19.89
"295","A",19.55
"296","A",21.95
"297","A",14.89
"298","A",21.19
"299","A",17.56
"300","A",18.87
"301","A",13.12
"302","A",22.27
"303","A",26.64
"304","A",17.75
"305","A",16.37
"306","A",18.96
"307","A",10.35
"308","A",18.13
"309","A",21.13
"310","A",22.55
"311","A",23.7
"312","A",18.4
"313","A",20.4
"314","A",18.24
"315","A",10.77
"316","A",31.32
"317","A",18.16
"318","A",15.72
"319","A",25.64
"320","A",11.24
"321","A",12.17
"322","A",22.09
"323","A",17.27
"324","A",28.44
"325","A",21.51
"326","A",16.58
"327","A",19.16
"328","A",15.86
"329","A",31.1
"330","A",17.89
"331","A",16.85
"332","A",21.94
"333","A",19.44
"334","A",15.26
"335","A",14.95
"336","A",26.98
"337","A",12.37
"338","A",14.56
"339","A",19.53
"340","A",16.73
"341","A",15.35
"342","A",22.68
"343","A",31.28
"344","A",21.62
"345","A",15.7
"346","A",24.54
"347","A",20.89
"348","A",19.11
"349","A",24.63
"350","A",24.55
"351","A",19.7
"352","A",25.21
"353","A",25.88
"354","A",27.9
"355","A",15.97
"356","A",7.28
"357","A",20.8
"358","A",23.38
"359","A",22.28
"360","A",22.38
"361","A",28.48
"362","A",12.17
"363","A",18.94
"364","A",19.43
"365","A",19.22
"366","A",19.04
"367","A",19.35
"368","A",20.75
"369","A",29.45
"370","A",19.42
"371","A",19.26
"372","A",28.93
"373","A",18.57
"374","A",19.82
"375","A",19.43
"376","A",29.14
"377","A",18.69
"378","A",24.55
"379","A",20.79
"380","A",15.75
"381","A",14.36
"382","A",23.82
"383","A",18.45
"384","A",19.76
"385","A",29.71
"386","A",27.12
"387","A",23.24
"388","A",14.43
"389","A",20.51
"390","A",9.15
"391","A",19.16
"392","A",19.05
"393","A",20.72
"394","A",12.99
"395","A",10.71
"396","A",25.94
"397","A",26.9
"398","A",16.62
"399","A",21.6
"400","A",29.26
"401","A",15.77
"402","A",16.71
"403","A",21.11
"404","A",17.28
"405","A",16.22
"406","A",19.11
"407","A",25.55
"408","A",13.62
"409","A",19.95
"410","A",9.15
"411","A",26.25
"412","A",13.95
"413","A",17.25
"414","A",24.76
"415","A",21.39
"416","A",20.21
"417","A",18.8
"418","A",16.27
"419","A",18.58
"420","A",21.73
"421","A",16.67
"422","A",16.8
"423","A",18.78
"424","A",9.62
"425","A",20.74
"426","A",21.82
"427","A",20.67
"428","A",18.04
"429","A",19.15
"430","A",20.92
"431","A",15.73
"432","A",26.39
"433","A",12.89
"434","A",24.57
"435","A",15.61
"436","A",22.34
"437","A",10.48
"438","A",17.37
"439","A",18.38
"440","A",19.99
"441","A",12.74
"442","A",19.28
"443","A",24.61
"444","A",21.54
"445","A",26.26
"446","A",10.88
"447","A",10.58
"448","A",22.33
"449","A",20.44
"450","A",18.71
"451","A",13.92
"452","A",16.31
"453","A",14.24
"454","A",22.23
"455","A",22.06
"456","A",24.56
"457","A",16.23
"458","A",18.76
"459","A",26.24
"460","A",15.71
"461","A",9.69
"462","A",24.53
"463","A",28.85
"464","A",14.03
"465","A",23.53
"466","A",23.04
"467","A",22.42
"468","A",22.43
"469","A",20.84
"470","A",25.04
"471","A",27.7
"472","A",19.59
"473","A",21.34
"474","A",21.67
"475","A",23.39
"476","A",24.08
"477","A",25.3
"478","A",23.11
"479","A",24.26
"480","A",25.22
"481","A",16.99
"482","A",22.85
"483","A",27.96
"484","A",26.42
"485","A",21
"486","A",24.51
"487","A",22.71
"488","A",18.35
"489","A",20.2
"490","A",15.68
"491","A",15.85
"492","A",16.67
"493","A",23.69
"494","A",14.24
"495","A",21.55
"496","A",23.2
"497","A",24.63
"498","A",14.78
"499","A",14.56
"500","A",20.69
"501","A",24.23
"502","A",21.86
"503","A",37
"504","A",9.87
"505","A",19.47
"506","A",13.87
"507","A",24.59
"508","A",20.14
"509","A",9.36
"510","A",12
"511","A",23.75
"512","A",23.61
"513","A",18.31
"514","A",24.57
"515","A",22.94
"516","A",15.74
"517","A",18.27
"518","A",25.98
"519","A",14.18
"520","A",20.03
"521","A",27.05
"522","A",26.61
"523","A",18.51
"524","A",19.01
"525","A",21.12
"526","A",22.58
"527","A",16.1
"528","A",22.9
"529","A",12.72
"530","A",20.4
"531","A",19.28
"532","A",19.43
"533","A",16.18
"534","A",23.54
"535","A",23.24
"536","A",12.55
"537","A",23.1
"538","A",17.28
"539","A",20.52
"540","A",19.98
"541","A",23.52
"542","A",17.84
"543","A",23.83
"544","A",23.31
"545","A",21.6
"546","A",12.29
"547","A",15.79
"548","A",21.22
"549","A",18.18
"550","A",22.13
"551","A",22.4
"552","A",25.86
"553","A",23.45
"554","A",20.35
"555","A",26.06
"556","A",5.04
"557","A",11.37
"558","A",17.86
"559","A",18.4
"560","A",16.87
"561","A",22.18
"562","A",19.74
"563","A",19.97
"564","A",16.75
"565","A",20.52
"566","A",23.46
"567","A",18.58
"568","A",20.57
"569","A",18.46
"570","A",15.66
"571","A",19.96
"572","A",18.92
"573","A",23.58
"574","A",18.77
"575","A",17.43
"576","A",22.86
"577","A",24.76
"578","A",16.71
"579","A",23.51
"580","A",10.55
"581","A",12.22
"582","A",13.33
"583","A",19.26
"584","A",24.31
"585","A",20.08
"586","A",17.41
"587","A",21.91
"588","A",15.4
"589","A",18.54
"590","A",20.26
"591","A",16.73
"592","A",14.2
"593","A",17.38
"594","A",17.5
"595","A",24.45
"596","A",17.08
"597","A",22.32
"598","A",14.64
"599","A",10.02
"600","A",13.01
"601","A",19.76
"602","A",24.97
"603","A",21.37
"604","A",13.63
"605","A",12.07
"606","A",21.15
"607","A",20.76
"608","A",28.16
"609","A",15.61
"610","A",22.26
"611","A",21.96
"612","A",22.72
"613","A",18.94
"614","A",26.82
"615","A",17.29
"616","A",19.55
"617","A",15.92
"618","A",19.39
"619","A",11.29
"620","A",30.22
"621","A",25.26
"622","A",20.36
"623","A",21.73
"624","A",20.95
"625","A",14.48
"626","A",19.03
"627","A",22.27
"628","A",19.43
"629","A",21.4
"630","A",18.54
"631","A",14.77
"632","A",22.73
"633","A",22.09
"634","A",23.04
"635","A",21.93
"636","A",28.47
"637","A",18.65
"638","A",24.86
"639","A",19.32
"640","A",20.18
"641","A",15.91
"642","A",18.65
"643","A",19.5
"644","A",17.79
"645","A",16.07
"646","A",18.67
"647","A",19.07
"648","A",17.06
"649","A",22.85
"650","A",21.7
"651","A",22.18
"652","A",13.27
"653","A",21.33
"654","A",17.55
"655","A",22.49
"656","A",19.63
"657","A",13.3
"658","A",12.12
"659","A",27.95
"660","A",21.42
"661","A",17.81
"662","A",20.43
"663","A",18.97
"664","A",18.16
"665","A",21.39
"666","A",25.92
"667","A",19.79
"668","A",19.83
"669","A",29.11
"670","A",27.09
"671","A",11.68
"672","A",21.53
"673","A",19.33
"674","A",28.93
"675","A",30.72
"676","A",29.73
"677","A",25.41
"678","A",22.33
"679","A",23.54
"680","A",21.25
"681","A",21.4
"682","A",19.49
"683","A",27.6
"684","A",18.8
"685","A",13.04
"686","A",13.93
"687","A",21.21
"688","A",18.83
"689","A",28.1
"690","A",22.74
"691","A",27.6
"692","A",14.65
"693","A",9.25
"694","A",18.14
"695","A",19.91
"696","A",27.11
"697","A",16.4
"698","A",17.3
"699","A",20.64
"700","A",22.61
"701","A",14.64
"702","A",21.56
"703","A",22.97
"704","A",18.59
"705","A",17.73
"706","A",16.94
"707","A",26.31
"708","A",15.84
"709","A",25.21
"710","A",20.51
"711","A",27.41
"712","A",22.75
"713","A",23.55
"714","A",27.02
"715","A",20.25
"716","A",16.68
"717","A",19.4
"718","A",24.15
"719","A",15.77
"720","A",27.3
"721","A",23.79
"722","A",21.21
"723","A",22.31
"724","A",20.43
"725","A",13.27
"726","A",20.86
"727","A",11.01
"728","A",32.87
"729","A",23.99
"730","A",26.6
"731","A",28.19
"732","A",15.22
"733","A",27.92
"734","A",16.59
"735","A",24.64
"736","A",19.17
"737","A",22.31
"738","A",21.03
"739","A",21.26
"740","A",22.73
"741","A",16.86
"742","A",18.6
"743","A",10.24
"744","A",13.61
"745","A",20.18
"746","A",20.76
"747","A",15.24
"748","A",29.02
"749","A",20.84
"750","A",23.73
"751","A",16.47
"752","A",18.86
"753","A",25.78
"754","A",17.32
"755","A",20.36
"756","A",26.03
"757","A",14.67
"758","A",20.07
"759","A",16.33
"760","A",24.83
"761","A",20.87
"762","A",19.55
"763","A",15.42
"764","A",12.71
"765","A",9.89
"766","A",17.67
"767","A",23.59
"768","A",13.73
"769","A",15.64
"770","A",15.02
"771","A",27.86
"772","A",23.38
"773","A",18.09
"774","A",13.32
"775","A",21.69
"776","A",22.19
"777","A",14.12
"778","A",12.51
"779","A",16.37
"780","A",16.46
"781","A",20.8
"782","A",11.87
"783","A",23.88
"784","A",30.24
"785","A",21.37
"786","A",20.82
"787","A",21.23
"788","A",18.02
"789","A",14.23
"790","A",22.4
"791","A",15.42
"792","A",30.74
"793","A",21.94
"794","A",17.38
"795","A",18.77
"796","A",19
"797","A",26.77
"798","A",14.93
"799","A",26.04
"800","A",15.23
"801","A",20.59
"802","A",19.62
"803","A",18.86
"804","A",22.84
"805","A",16.37
"806","A",21.67
"807","A",15.31
"808","A",19.33
"809","A",24.32
"810","A",22.06
"811","A",14.79
"812","A",14.12
"813","A",20.21
"814","A",23.72
"815","A",25.26
"816","A",26.05
"817","A",24.47
"818","A",18.91
"819","A",20.8
"820","A",20.95
"821","A",22.32
"822","A",25.55
"823","A",24.66
"824","A",13.28
"825","A",21.48
"826","A",16.09
"827","A",23.26
"828","A",23.26
"829","A",16.92
"830","A",16.76
"831","A",11.96
"832","A",18.15
"833","A",16.79
"834","A",14.46
"835","A",28.84
"836","A",29.03
"837","A",15.07
"838","A",12.91
"839","A",27.33
"840","A",10.78
"841","A",20.25
"842","A",12.52
"843","A",14.76
"844","A",22.51
"845","A",14.88
"846","A",25.91
"847","A",23.45
"848","A",15.56
"849","A",19.98
"850","A",22.84
"851","A",20.08
"852","A",5.8
"853","A",18.52
"854","A",22.6
"855","A",28.39
"856","A",17.58
"857","A",12.57
"858","A",29.08
"859","A",18.83
"860","A",24.74
"861","A",23.59
"862","A",16.94
"863","A",28.39
"864","A",17.3
"865","A",22.55
"866","A",26.65
"867","A",22.12
"868","A",17.3
"869","A",24.22
"870","A",25.86
"871","A",17.43
"872","A",24.36
"873","A",24.72
"874","A",19.25
"875","A",15.47
"876","A",17.05
"877","A",28.58
"878","A",25.48
"879","A",22.08
"880","A",23.59
"881","A",27.23
"882","A",23.94
"883","A",22
"884","A",22.56
"885","A",17.84
"886","A",18.32
"887","A",20.49
"888","A",26.4
"889","A",19.16
"890","A",15.04
"891","A",19.2
"892","A",25.01
"893","A",17.07
"894","A",23.32
"895","A",21.47
"896","A",19.78
"897","A",15.84
"898","A",21.83
"899","A",18.86
"900","A",19.32
"901","A",24.73
"902","A",18.92
"903","A",21.09
"904","A",14.46
"905","A",22.08
"906","A",23.6
"907","A",21.44
"908","A",14.76
"909","A",19.88
"910","A",21.86
"911","A",13.72
"912","A",25.61
"913","A",16.75
"914","A",23.6
"915","A",24.48
"916","A",13.59
"917","A",16.86
"918","A",15.92
"919","A",10.56
"920","A",22.03
"921","A",26.64
"922","A",30.07
"923","A",20.86
"924","A",30.07
"925","A",21.81
"926","A",21.53
"927","A",21.64
"928","A",25.04
"929","A",15.06
"930","A",16.57
"931","A",24.77
"932","A",19.44
"933","A",14.06
"934","A",19.36
"935","A",22.38
"936","A",17.03
"937","A",22.64
"938","A",21.01
"939","A",13.57
"940","A",19.35
"941","A",19.03
"942","A",23.81
"943","A",13.25
"944","A",18.51
"945","A",23.48
"946","A",19.6
"947","A",14.3
"948","A",17.83
"949","A",28.48
"950","A",20.28
"951","A",22.33
"952","A",20.72
"953","A",28.4
"954","A",20.89
"955","A",27
"956","A",23.53
"957","A",18.9
"958","A",18.73
"959","A",14.75
"960","A",25.34
"961","A",22.17
"962","A",21.47
"963","A",27.62
"964","A",19.76
"965","A",12.38
"966","A",27.61
"967","A",20.24
"968","A",12.95
"969","A",17.82
"970","A",14.05
"971","A",25.3
"972","A",17.22
"973","A",17.76
"974","A",23.75
"975","A",13.49
"976","A",28.21
"977","A",19.12
"978","A",25.93
"979","A",34.82
"980","A",18.98
"981","A",23.54
"982","A",23.24
"983","A",20.36
"984","A",20.95
"985","A",19.64
"986","A",28.42
"987","A",19.54
"988","A",16.61
"989","A",14.31
"990","A",15.69
"991","A",20.62
"992","A",21.54
"993","A",23.35
"994","A",21.82
"995","A",19.47
"996","A",25.24
"997","A",19.34
"998","A",13.72
"999","A",32.26
"1000","A",20.46
"1001","A",19.65
"1002","A",15.24
"1003","A",15.15
"1004","A",30.66
"1005","A",29.25
"1006","A",11.69
"1007","A",24.89
"1008","A",21.94
"1009","A",23.29
"1010","A",14.84
"1011","A",14.61
"1012","A",13.63
"1013","A",21.71
"1014","A",19.67
"1015","A",20.97
"1016","A",18.13
"1017","A",16.84
"1018","A",12.37
"1019","A",25.06
"1020","A",14.04
"1021","A",19.86
"1022","A",31.76
"1023","A",27.95
"1024","A",20.72
"1025","A",25.31
"1026","A",23.99
"1027","A",16.49
"1028","A",20.95
"1029","A",19.43
"1030","A",13.67
"1031","A",19.16
"1032","A",25.8
"1033","A",22.26
"1034","A",12.55
"1035","A",28.97
"1036","A",14.82
"1037","A",9.44
"1038","A",32.75
"1039","A",20.82
"1040","A",23.9
"1041","A",25.5
"1042","A",28.73
"1043","A",23.81
"1044","A",20.29
"1045","A",27.35
"1046","A",24.17
"1047","A",27.9
"1048","A",19.31
"1049","A",22.68
"1050","A",20.86
"1051","A",21.55
"1052","A",17.73
"1053","A",20.1
"1054","A",17.96
"1055","A",23.09
"1056","A",20.76
"1057","A",25.9
"1058","A",31.02
"1059","A",18.69
"1060","A",22.38
"1061","A",16.87
"1062","A",21.94
"1063","A",14.1
"1064","A",17.9
"1065","A",13.8
"1066","A",20.84
"1067","A",30.16
"1068","A",24.53
"1069","A",19.28
"1070","A",15.58
"1071","A",24.96
"1072","A",21.72
"1073","A",15.98
"1074","A",18.92
"1075","A",12.53
"1076","A",19.22
"1077","A",26.58
"1078","A",19.59
"1079","A",17.08
"1080","A",20.48
"1081","A",19.03
"1082","A",19.98
"1083","A",19.27
"1084","A",22.9
"1085","A",8.38
"1086","A",26.65
"1087","A",17.12
"1088","A",15.7
"1089","A",19.2
"1090","A",12.09
"1091","A",11.94
"1092","A",25.85
"1093","A",14.71
"1094","A",24.7
"1095","A",20.51
"1096","A",27.09
"1097","A",15.13
"1098","A",15.38
"1099","A",17.36
"1100","A",21.74
"1101","A",14.2
"1102","A",19.2
"1103","A",11.47
"1104","A",24.18
"1105","A",17.83
"1106","A",27.34
"1107","A",19.57
"1108","A",23.84
"1109","A",18.97
"1110","A",20.62
"1111","A",12.29
"1112","A",18.44
"1113","A",23.86
"1114","A",18.94
"1115","A",26.59
"1116","A",18.29
"1117","A",15.97
"1118","A",23.42
"1119","A",14.77
"1120","A",28.66
"1121","A",21.12
"1122","A",19.59
"1123","A",22.42
"1124","A",24.38
"1125","A",20.77
"1126","A",19.7
"1127","A",21.88
"1128","A",22.81
"1129","A",16.99
"1130","A",19.75
"1131","A",27.37
"1132","A",20.62
"1133","A",16.61
"1134","A",21.65
"1135","A",25.49
"1136","A",17.9
"1137","A",14.27
"1138","A",26.04
"1139","A",8.96
"1140","A",16.34
"1141","A",15.55
"1142","A",19.52
"1143","A",14.06
"1144","A",19.49
"1145","A",20.04
"1146","A",13.14
"1147","A",17.46
"1148","A",16.58
"1149","A",18.83
"1150","A",23.59
"1151","A",20.45
"1152","A",17.77
"1153","A",21.19
"1154","A",24.84
"1155","A",22
"1156","A",23.43
"1157","A",11.9
"1158","A",31.52
"1159","A",21.65
"1160","A",19.14
"1161","A",29.06
"1162","A",22.27
"1163","A",19.4
"1164","A",24.65
"1165","A",14.17
"1166","A",24.75
"1167","A",21.94
"1168","A",26.29
"1169","A",26.71
"1170","A",24.84
"1171","A",18.13
"1172","A",18.58
"1173","A",20.15
"1174","A",22.2
"1175","A",23.23
"1176","A",7.37
"1177","A",11.27
"1178","A",17.89
"1179","A",27.57
"1180","A",14.34
"1181","A",25.76
"1182","A",29.42
"1183","A",24.79
"1184","A",21.35
"1185","A",17.1
"1186","A",17.92
"1187","A",25.68
"1188","A",9.2
"1189","A",21.41
"1190","A",21.05
"1191","A",15.19
"1192","A",19.87
"1193","A",19.6
"1194","A",24.57
"1195","A",15.71
"1196","A",18.02
"1197","A",22.51
"1198","A",14.23
"1199","A",10.57
"1200","A",20.38
"1201","A",18.94
"1202","A",15.5
"1203","A",21.41
"1204","A",15.08
"1205","A",17.89
"1206","A",13.93
"1207","A",14.95
"1208","A",13.19
"1209","A",14.08
"1210","A",20.02
"1211","A",18.24
"1212","A",25.63
"1213","A",21.83
"1214","A",28.05
"1215","A",10.64
"1216","A",17.61
"1217","A",19.26
"1218","A",21.68
"1219","A",17.88
"1220","A",17.02
"1221","A",21.28
"1222","A",18.19
"1223","A",21.59
"1224","A",25.48
"1225","A",18.98
"1226","A",14.46
"1227","A",16.64
"1228","A",18.29
"1229","A",16.46
"1230","A",18.33
"1231","A",18.76
"1232","A",21.94
"1233","A",20.46
"1234","A",20.48
"1235","A",24.3
"1236","A",15.09
"1237","A",17.22
"1238","A",28.26
"1239","A",21.37
"1240","A",22.9
"1241","A",26.58
"1242","A",18.22
"1243","A",14.67
"1244","A",21.68
"1245","A",21.59
"1246","A",23.37
"1247","A",14.63
"1248","A",22.85
"1249","A",19.84
"1250","A",24.72
"1251","A",17.54
"1252","A",23.37
"1253","A",13.36
"1254","A",18.13
"1255","A",17.16
"1256","A",24.05
"1257","A",14.9
"1258","A",24.61
"1259","A",20.75
"1260","A",17.08
"1261","A",11.92
"1262","A",24.55
"1263","A",17.85
"1264","A",19.6
"1265","A",22.57
"1266","A",16.14
"1267","A",18.28
"1268","A",21.17
"1269","A",15.05
"1270","A",9.02
"1271","A",15.98
"1272","A",17.02
"1273","A",20.1
"1274","A",19.22
"1275","A",12.5
"1276","A",23.48
"1277","A",22.36
"1278","A",22.76
"1279","A",17.48
"1280","A",12.52
"1281","A",10.19
"1282","A",19.87
"1283","A",23.49
"1284","A",18.98
"1285","A",21.21
"1286","A",24.99
"1287","A",25.39
"1288","A",12.73
"1289","A",6.62
"1290","A",20.59
"1291","A",22.81
"1292","A",11.47
"1293","A",29.27
"1294","A",17.46
"1295","A",28.88
"1296","A",19.51
"1297","A",24.08
"1298","A",19.45
"1299","A",17.63
"1300","A",20.96
"1301","A",11.98
"1302","A",14.67
"1303","A",17.73
"1304","A",26.02
"1305","A",25.41
"1306","A",15.27
"1307","A",25.82
"1308","A",18.77
"1309","A",17.07
"1310","A",19.72
"1311","A",25.2
"1312","A",21.28
"1313","A",13.81
"1314","A",18.26
"1315","A",24.36
"1316","A",14.96
"1317","A",15.64
"1318","A",28.36
"1319","A",16.58
"1320","A",21.96
"1321","A",13.85
"1322","A",18.97
"1323","A",25.75
"1324","A",14.7
"1325","A",14.44
"1326","A",25.91
"1327","A",23.31
"1328","A",21.68
"1329","A",16.16
"1330","A",26.41
"1331","A",18.16
"1332","A",17.04
"1333","A",17.07
"1334","A",23.34
"1335","A",13.6
"1336","A",20.63
"1337","A",26.35
"1338","A",22.62
"1339","A",33.78
"1340","A",22.19
"1341","A",20.58
"1342","A",26.34
"1343","A",15.18
"1344","A",12.33
"1345","A",18.98
"1346","A",16.61
"1347","A",14.03
"1348","A",28.25
"1349","A",7.57
"1350","A",15.6
"1351","A",23.17
"1352","A",16.82
"1353","A",17.8
"1354","A",21.61
"1355","A",13.96
"1356","A",13.87
"1357","A",20.87
"1358","A",14.85
"1359","A",23.04
"1360","A",27.17
"1361","A",23.08
"1362","A",19.13
"1363","A",31.52
"1364","A",27.13
"1365","A",22.92
"1366","A",15.07
"1367","A",25.51
"1368","A",33.68
"1369","A",9.71
"1370","A",26.32
"1371","A",16.03
"1372","A",12.39
"1373","A",22.89
"1374","A",12.21
"1375","A",14.89
"1376","A",12.88
"1377","A",25.99
"1378","A",19.74
"1379","A",25.73
"1380","A",16.73
"1381","A",24.63
"1382","A",16.72
"1383","A",10.63
"1384","A",16.24
"1385","A",19.53
"1386","A",27.21
"1387","A",17.46
"1388","A",17.48
"1389","A",22.11
"1390","A",25.03
"1391","A",21.46
"1392","A",22.05
"1393","A",28.11
"1394","A",23
"1395","A",21.98
"1396","A",18.79
"1397","A",16.78
"1398","A",18.81
"1399","A",22.17
"1400","A",19.34
"1401","A",22.94
"1402","A",13.17
"1403","A",17.88
"1404","A",21.98
"1405","A",27.78
"1406","A",23.96
"1407","A",8.43
"1408","A",25.4
"1409","A",14.99
"1410","A",23.85
"1411","A",24.21
"1412","A",19.63
"1413","A",24.57
"1414","A",14.29
"1415","A",25.14
"1416","A",24.38
"1417","A",23.83
"1418","A",18.92
"1419","A",14.83
"1420","A",21.71
"1421","A",26.9
"1422","A",10.77
"1423","A",12.96
"1424","A",19.37
"1425","A",11.63
"1426","A",21.92
"1427","A",34.71
"1428","A",17.13
"1429","A",30.78
"1430","A",30.32
"1431","A",21.3
"1432","A",9.74
"1433","A",20.67
"1434","A",16.45
"1435","A",18.88
"1436","A",26.57
"1437","A",26.64
"1438","A",11.9
"1439","A",22.56
"1440","A",25.1
"1441","A",26.93
"1442","A",21.57
"1443","A",22.05
"1444","A",16.27
"1445","A",23.21
"1446","A",16.38
"1447","A",13.06
"1448","A",19.98
"1449","A",23.46
"1450","A",26.29
"1451","A",17.28
"1452","A",21.19
"1453","A",17.8
"1454","A",27.87
"1455","A",24.84
"1456","A",14.72
"1457","A",21.35
"1458","A",17.18
"1459","A",9.41
"1460","A",13.72
"1461","A",21.9
"1462","A",15.66
"1463","A",20.91
"1464","A",23.92
"1465","A",20.59
"1466","A",20.81
"1467","A",8.01
"1468","A",14.23
"1469","A",19.2
"1470","A",18.37
"1471","A",26.94
"1472","A",29.55
"1473","A",23.21
"1474","A",21.75
"1475","A",13.21
"1476","A",22.34
"1477","A",20.69
"1478","A",17.21
"1479","A",11.35
"1480","A",18.98
"1481","A",20.8
"1482","A",16.61
"1483","A",14.95
"1484","A",17.49
"1485","A",17.84
"1486","A",23.62
"1487","A",23.41
"1488","A",21.09
"1489","A",22.37
"1490","A",22.03
"1491","A",19.34
"1492","A",13.58
"1493","A",26.41
"1494","A",23.95
"1495","A",19.93
"1496","A",26.83
"1497","A",20.36
"1498","A",22.67
"1499","A",22.41
"1500","A",19.67
